carrier_group,n_flights,n_cancelled,n_ge_3h,p_ge_3h,p_cancelled,avg_delay_min
United Airlines,7090,44,136.71403461,0.019282656503526095,0.006167647883375385,18.85345557122708
American Airlines,7647,69,118.36330790000001,0.015478397789983,0.008942457231726283,17.07192363018177
TUI Airways,28680,92,359.59807057,0.012538286979428173,0.003197553176699569,23.76718967921897
Thomas Cook Airlines Ltd,14744,181,123.71708578,0.008391012329083018,0.012127303182579565,22.831456863809006
Virgin Atlantic Airways Ltd,11778,97,94.28354451,0.008005055570555272,0.008168421052631578,13.068517575140092
Loganair Ltd,20616,550,156.18998931000002,0.007576153924621654,0.02598507039591798,12.770421032207993
Aurigny Air Services,5231,112,37.71849461,0.007210570562034028,0.020962006363466217,13.524947428789906
Wizz Air,25685,103,178.79927089,0.0069612330500292,0.0039941057856367305,15.371578742456688
Norwegian Air International,9065,33,56.89481069,0.006276316678433536,0.0036271708067707187,18.120794263651405
easyJet,185015,1160,1140.59299932,0.006164867709753263,0.006230696924936216,17.965062292246575
Ryanair,137611,285,813.49469304,0.0059115528049356525,0.0020667749608400533,12.912841269956617
Vueling,7542,93,42.71851371,0.005664082963404933,0.01218074656188605,16.30124635375232
British Airways,175811,2065,811.68441269,0.004616801068704462,0.011609210910971689,12.229979921620377
Jet2.com,41545,57,175.71072744,0.004229407327957636,0.0013701264362290274,10.403851245637261
Flybe Ltd,114282,2121,402.75368362,0.0035242092684762256,0.018221179866498287,11.651598676957
Aer Lingus,23206,133,72.21150734000001,0.0031117602059812124,0.005698616050387763,10.869559596656037
Klm,17324,228,42.565277800000004,0.002457012110367121,0.012989972652689152,11.635707688755483
Qatar Airways,5191,3,10.98387058,0.0021159450163744944,0.0005775895263765884,9.45887112309767
Emirates,6829,9,10.99999968,0.001610777519402548,0.0013161743199766012,9.5549860887392
Sas,8096,155,11.870898310000001,0.0014662670837450593,0.018785601745243,11.897974308300395
Eurowings Luftverkehrs,8745,69,12.81711179,0.0014656502904516868,0.007828454731109599,9.279817038307604
Thy Turkish Airlines,5055,16,4.99324296,0.0009877829792284867,0.0031551962137645437,13.037982195845697
Air France,6679,27,2.9943182,0.0004483183410690223,0.004026245153593797,8.805958975894596
Lufthansa,13806,212,4.82974643,0.0003498295255685934,0.015123412755029248,10.959003331884688
Swiss Airlines,6459,203,1.0000002,0.00015482275894101254,0.030471329930951665,10.97151261805233
