carrier_group,reporting_airport,origin_destination,month,n_flights,p_ge_3h,band_edge,collection,wage_per_hour,p_eligible,p_claimable,k_gbp,fare_gbp,k_net_gbp,all_in_cost_gbp,ev_gbp,breakeven_p_claimable,kelly_f
Ryanair,STANSTED,BERLIN BRANDENBURG,2,101,0.029498829306930693,false,diy,0.0,0.4229175554474838,0.009980458223239778,220.0,15.3,220.0,30.3,-26.699084231342887,0.13772727272727273,0.0
Ryanair,MANCHESTER,DUBLIN,1,173,0.02840979450867052,false,diy,0.0,0.38993094953810326,0.00886228651915863,220.0,15.3,220.0,30.3,-26.932782117495844,0.13772727272727273,0.0
Ryanair,STANSTED,BERLIN BRANDENBURG,2,101,0.029498829306930693,false,agency,0.0,0.4229175554474838,0.01122801550114475,220.0,15.3,143.0,30.3,-27.259674094169487,0.21188811188811188,0.0
Ryanair,MANCHESTER,DUBLIN,1,173,0.02840979450867052,false,agency,0.0,0.38993094953810326,0.009970072334053458,220.0,15.3,143.0,30.3,-27.430565673418837,0.21188811188811188,0.0
Ryanair,EDINBURGH,DUBLIN,1,115,0.01703272347826087,false,diy,0.0,0.4372937273570821,0.0059586425094809445,220.0,15.3,220.0,30.3,-27.539643715518483,0.13772727272727273,0.0
Ryanair,STANSTED,DUBLIN,1,234,0.012593604615384616,false,diy,0.0,0.44839803041383575,0.004517558004279243,220.0,15.3,220.0,30.3,-27.84083037710564,0.13772727272727273,0.0
Ryanair,EDINBURGH,DUBLIN,1,115,0.01703272347826087,false,agency,0.0,0.4372937273570821,0.0067034728231660625,220.0,15.3,143.0,30.3,-27.87433321697289,0.21188811188811188,0.0
Ryanair,LUTON,DUBLIN,11,101,0.00990099,false,diy,0.0,0.4397183587248372,0.0034829176580408214,220.0,15.3,220.0,30.3,-28.05707020946947,0.13772727272727273,0.0
Ryanair,LIVERPOOL (JOHN LENNON),DUBLIN,11,114,0.00877193,false,diy,0.0,0.47508509799565335,0.0033339305789288095,220.0,15.3,220.0,30.3,-28.088208509003877,0.13772727272727273,0.0
Ryanair,STANSTED,DUBLIN,1,234,0.012593604615384616,false,agency,0.0,0.44839803041383575,0.0050822527548141485,220.0,15.3,143.0,30.3,-28.094575963258496,0.21188811188811188,0.0
Ryanair,BIRMINGHAM,DUBLIN,2,130,0.00769231,false,diy,0.0,0.4663699398801246,0.0028699697217914252,220.0,15.3,220.0,30.3,-28.185176328145594,0.13772727272727273,0.0
Ryanair,STANSTED,DUBLIN,11,255,0.007843136352941177,false,diy,0.0,0.4571810802542776,0.0028685868403353944,220.0,15.3,220.0,30.3,-28.185465350369903,0.13772727272727273,0.0
Ryanair,STANSTED,BERGAMO,1,117,0.008547007179487181,true,diy,0.0,0.4164388091458023,0.0028474443932690113,220.0,15.3,220.0,30.3,-28.189884121806777,0.13772727272727273,0.0
Ryanair,BIRMINGHAM,DUBLIN,1,140,0.0070922,false,diy,0.0,0.4502941493024809,0.002554860932546444,220.0,15.3,220.0,30.3,-28.25103406509779,0.13772727272727273,0.0
Ryanair,LUTON,DUBLIN,11,101,0.00990099,false,agency,0.0,0.4397183587248372,0.003918282365295924,220.0,15.3,143.0,30.3,-28.252701340674548,0.21188811188811188,0.0
