carrier_group,reporting_airport,origin_destination,n_flights,n_cancelled,n_ge_3h,p_ge_3h,p_cancelled,avg_delay_min
Rwandair Express,HEATHROW,KIGALI,203,4,41.61751147,0.205012371773399,0.01932367149758454,140.00985221674875
Tunisair,GATWICK,TUNIS,184,0,12.000000100000001,0.06521739184782609,0.0,61.94565217391305
Tunisair,HEATHROW,TUNIS,102,1,6.00000008,0.05882353019607844,0.009708737864077669,45.549019607843135
Kenya Airways,HEATHROW,NAIROBI,363,1,17.93548315,0.04940904449035813,0.0027472527472527475,29.349862258953166
easyJet,BIRMINGHAM,SHARM EL SHEIKH (OPHIRA),101,1,4.76388885,0.04716721633663366,0.00980392156862745,59.20792079207921
Rwandair,HEATHROW,KIGALI,151,1,6.86666627,0.04547461105960265,0.006578947368421052,38.70198675496689
Norse Atlantic Uk Ltd,GATWICK,ORLANDO,274,1,11.82352899,0.04315156565693431,0.0036363636363636364,42.64963503649635
American Airlines,HEATHROW,LOS ANGELES INTERNATIONAL,709,10,29.54555887,0.04167215637517631,0.013908205841446454,45.26939351198872
Gulf Air,MANCHESTER,BAHRAIN,259,4,10.68539459,0.041256349768339765,0.015209125475285171,37.81467181467181
Qantas,HEATHROW,SYDNEY,364,7,14.77822557,0.040599520796703294,0.018867924528301886,38.59340659340659
Blue Islands Limited,JERSEY,BRISTOL,306,10,12.301247870000001,0.0402001564379085,0.03164556962025317,37.26143790849673
British Airways,GATWICK,KINGSTON,154,3,6.000000050000001,0.03896103928571429,0.01910828025477707,41.34415584415584
Ryanair,MANCHESTER,TANGIERS (IBN BATUTA),103,1,3.99999996,0.038834951067961164,0.009615384615384616,43.33009708737864
Jet2.com,MANCHESTER,AGADIR (AL MASSIRA),104,0,3.99999996,0.038461538076923076,0.0,27.903846153846153
TUI Airways,MANCHESTER,AGADIR (AL MASSIRA),104,0,3.99999996,0.038461538076923076,0.0,43.28846153846154
