carrier_group,reporting_airport,origin_destination,month,n_flights,n_cancelled,n_ge_3h,p_ge_3h,p_cancelled,avg_delay_min
Rwandair Express,HEATHROW,KIGALI,5,29,2,15.9032259,0.5483871,0.06451612903225806,331.0
Rwandair Express,HEATHROW,KIGALI,1,30,0,14.000000099999998,0.4666666699999999,0.0,347.0
Avianca Colombia,HEATHROW,BOGOTA,9,30,0,6.999999900000001,0.23333333000000003,0.0,83.0
Aer Lingus,MANCHESTER,NEW YORK (JF KENNEDY),1,30,1,6.774193499999999,0.22580644999999996,0.03225806451612903,75.0
Rwandair Express,HEATHROW,KIGALI,2,27,0,5.000000129999999,0.18518518999999997,0.0,129.0
Ryanair,STANSTED,PERUGIA,8,31,0,4.99999992,0.16129032,0.0,59.0
Blue Islands Limited,JERSEY,BRISTOL,5,31,3,4.55882342,0.14705882,0.08823529411764706,64.0
Air Canada,HEATHROW,TORONTO,2,74,3,10.5714291,0.14285715,0.03896103896103896,63.0
Rwandair Express,HEATHROW,KIGALI,3,26,2,3.7142856400000004,0.14285714000000002,0.07142857142857142,104.0
Ryanair,MANCHESTER,COLOGNE BONN,1,29,0,4.0,0.13793103448275862,0.0,43.03448275862069
Rwandair,HEATHROW,KIGALI,11,29,1,3.86666657,0.13333333,0.03333333333333333,99.0
Norse Atlantic Uk Ltd,GATWICK,ORLANDO,4,30,0,3.9999999,0.13333333,0.0,79.0
Kenya Airways,HEATHROW,NAIROBI,5,31,0,4.0000000600000005,0.12903226,0.0,37.0
Ryanair,MANCHESTER,CHARLEROI,1,55,0,7.000000340000001,0.12727273345454546,0.0,46.92727272727273
easyJet,BRISTOL,LISBON,2,32,0,4.00000016,0.125000005,0.0,68.25
Qantas,HEATHROW,SYDNEY,5,31,1,3.875,0.125,0.03125,79.0
Kuwait Airways,HEATHROW,KUWAIT,11,48,0,6.0,0.125,0.0,58.0
Air India,HEATHROW,DELHI,5,107,0,13.000000309999999,0.12149532999999998,0.0,90.0
TUI Airways,MANCHESTER,BRIDGETOWN,1,25,0,3.0,0.12,0.0,75.0
Blue Islands Limited,BRISTOL,JERSEY,5,31,3,3.6470588600000005,0.11764706000000001,0.08823529411764706,61.0
Ryanair,MANCHESTER,SANDEFJORD(TORP),1,35,1,3.88888885,0.11111111,0.027777777777777776,47.0
Hainan Airlines,MANCHESTER,BEIJING,1,28,0,3.0000000800000004,0.10714286000000002,0.0,59.0
British Airways,HEATHROW,GIBRALTAR,3,45,2,4.787234099999999,0.10638297999999999,0.0425531914893617,78.0
easyJet,LUTON,NICE,7,57,1,5.796609870000001,0.10169491000000001,0.017241379310344827,88.0
Delta Airlines,GATWICK,NEW YORK (JF KENNEDY),6,30,0,3.0,0.1,0.0,43.0
Qantas,HEATHROW,SYDNEY,4,30,0,3.0,0.1,0.0,83.0
British Airways,GATWICK,LARNACA,7,30,0,3.0,0.1,0.0,53.0
Aer Lingus,ABERDEEN,DUBLIN,9,30,0,3.0,0.1,0.0,34.0
TUI Airways,MANCHESTER,PALMA DE MALLORCA,10,30,0,3.0,0.1,0.0,68.0
Wizz Air,LUTON,POZNAN,5,31,0,2.9999998900000002,0.09677419000000001,0.0,47.0
Jet2.com,STANSTED,ALICANTE,5,31,0,2.9999998900000002,0.09677419000000001,0.0,41.0
Delta Airlines,HEATHROW,BOSTON,1,31,0,2.9999998900000002,0.09677419000000001,0.0,24.0
Qantas,HEATHROW,PERTH (AUSTRALIA),6,30,1,2.9032257,0.09677419000000001,0.03225806451612903,46.0
Fly One,LUTON,CHISINAU INTERNATIONAL,8,31,0,2.9999998900000002,0.09677419000000001,0.0,48.0
Kenya Airways,HEATHROW,NAIROBI,8,31,0,2.9999998900000002,0.09677419000000001,0.0,30.0
Qantas,HEATHROW,SYDNEY,3,30,1,2.9032257,0.09677419000000001,0.03225806451612903,47.0
British Airways,HEATHROW,JOHANNESBURG,7,62,0,5.9999997800000004,0.09677419000000001,0.0,48.0
Blue Islands Limited,EXETER,JERSEY,5,30,0,2.9032257,0.09677419000000001,0.0,46.0
Kenya Airways,HEATHROW,NAIROBI,7,31,0,2.9999998900000002,0.09677419000000001,0.0,49.0
American Airlines,HEATHROW,PHOENIX,8,31,0,2.9999998900000002,0.09677419000000001,0.0,71.0
American Airlines,HEATHROW,LOS ANGELES INTERNATIONAL,8,62,1,5.90476158,0.09523809,0.015873015873015872,82.0
Jet2.com,LEEDS BRADFORD,ARRECIFE,1,31,1,2.90625,0.09375,0.03125,39.0
Blue Islands Limited,JERSEY,BRISTOL,6,32,1,2.90909088,0.09090909,0.030303030303030304,51.0
American Airlines,HEATHROW,DALLAS/FORT WORTH,9,146,4,12.65333382,0.08666667,0.02666666666666667,76.0
Ryanair,STANSTED,BIARRITZ,7,34,1,2.9032257,0.08538899117647059,0.02857142857142857,44.1764705882353
Ryanair,STANSTED,GENOA,7,36,0,2.99999988,0.08333333,0.0,45.0
American Airlines,HEATHROW,LOS ANGELES INTERNATIONAL,12,62,0,4.99999992,0.08064516,0.0,77.0
United Airlines,EDINBURGH,NEW YORK (NEWARK),7,61,1,4.919354759999999,0.08064515999999998,0.016129032258064516,66.0
Ryanair,LIVERPOOL (JOHN LENNON),KRAKOW,12,25,0,2.0,0.08,0.0,32.0
Aurigny Air Services,BRISTOL,GUERNSEY,1,25,0,2.0,0.08,0.0,46.0
Ryanair,MANCHESTER,VIENNA,1,25,0,2.0,0.08,0.0,34.0
British Airways,HEATHROW,PISA,8,63,0,5.000000040000001,0.07936508,0.0,36.0
