carrier_group,reporting_airport,origin_destination,origin_destination_country,month,n_flights,p_ge_3h,p_cancelled,avg_delay_min,approx_km,k_gbp,assumed_fare_gbp,gross_screening_ratio
Wizz Air,LUTON,TIRANA,ALBANIA,5,102,0.05825243,0.009708737864077669,31.0,2050.0,350.0,28.88,0.7059678150969529
easyJet,MANCHESTER,GENEVA,SWITZERLAND,1,118,0.06587783983050848,0.024793388429752067,43.47457627118644,750.0,220.0,23.8,0.6089548219626834
easyJet,MANCHESTER,PARIS (CHARLES DE GAULLE),FRANCE,1,117,0.049498324871794876,0.03305785123966942,37.58974358974359,350.0,220.0,23.8,0.45754754083171734
Ryanair,LUTON,DUBLIN,IRISH REPUBLIC,10,107,0.03738317000000001,0.0,27.0,450.0,220.0,18.0,0.45690541111111116
Ryanair,STANSTED,BERLIN BRANDENBURG,GERMANY,2,101,0.029498829306930693,0.00980392156862745,19.514851485148515,800.0,220.0,15.3,0.4241661730408335
Ryanair,MANCHESTER,DUBLIN,IRISH REPUBLIC,1,173,0.02840979450867052,0.017045454545454544,29.77456647398844,450.0,220.0,15.3,0.408506849144282
easyJet,MANCHESTER,AMSTERDAM,NETHERLANDS,1,129,0.04408915325581396,0.044444444444444446,35.13953488372093,360.0,220.0,23.8,0.40754679480164163
easyJet,GATWICK,GENEVA,SWITZERLAND,1,210,0.03809524,0.03225806451612903,32.0,750.0,220.0,23.8,0.3521408739495799
Ryanair,MANCHESTER,ALICANTE,SPAIN,10,107,0.028037381121495328,0.0,30.53271028037383,1250.0,220.0,18.0,0.34267910259605405
Ryanair,STANSTED,BARCELONA,SPAIN,7,124,0.04032258,0.0,43.0,1250.0,220.0,26.1,0.339883816091954
Ryanair,STANSTED,PISA,ITALY,8,103,0.03883495,0.0,35.0,1400.0,220.0,26.1,0.3273444061302682
Ryanair,STANSTED,LISBON,PORTUGAL(EXCLUDING MADEIRA),7,102,0.029126210000000003,0.0,34.0,1600.0,350.0,32.62,0.3125129828326181
easyJet,BRISTOL,GENEVA,SWITZERLAND,1,119,0.033613447058823534,0.0,27.705882352941178,750.0,220.0,23.8,0.31071253583786457
easyJet,GATWICK,AMSTERDAM,NETHERLANDS,1,122,0.03252032,0.024,28.0,360.0,220.0,23.8,0.300608
Ryanair,STANSTED,BERGAMO,ITALY,7,120,0.033333334166666666,0.0,52.916666666666664,1400.0,220.0,26.1,0.28097063282247764
easyJet,GATWICK,PALMA DE MALLORCA,SPAIN,9,179,0.03910614,0.03763440860215054,45.0,1250.0,220.0,30.8,0.2793295714285714
easyJet,MANCHESTER,BELFAST INTERNATIONAL,UNITED KINGDOM,10,113,0.03508772,0.008771929824561403,23.0,400.0,220.0,28.0,0.2756892285714286
Ryanair,STANSTED,BARCELONA,SPAIN,9,120,0.024590159999999996,0.01639344262295082,40.0,1250.0,220.0,19.8,0.2732239999999999
easyJet,GATWICK,MILAN (MALPENSA),ITALY,6,149,0.0397351,0.032467532467532464,34.0,1400.0,220.0,35.0,0.24976348571428575
Ryanair,EDINBURGH,DUBLIN,IRISH REPUBLIC,1,115,0.01703272347826087,0.03361344537815126,15.043478260869565,450.0,220.0,15.3,0.24491497811878377
easyJet,GATWICK,NICE,FRANCE,7,156,0.04216867,0.0658682634730539,64.0,350.0,220.0,40.6,0.22850018226600985
Ryanair,STANSTED,ALICANTE,SPAIN,7,111,0.02702703,0.0,28.0,1250.0,220.0,26.1,0.2278140459770115
easyJet,GATWICK,PALMA DE MALLORCA,SPAIN,6,166,0.03592815,0.05142857142857143,39.0,1250.0,220.0,35.0,0.2258340857142857
Ryanair,STANSTED,ALICANTE,SPAIN,10,109,0.01834862,0.0,20.0,1250.0,220.0,18.0,0.22426091111111113
Wizz Air,LUTON,TIRANA,ALBANIA,8,121,0.02479339,0.0,23.0,2050.0,350.0,39.88,0.21759494734202606
easyJet,GATWICK,BARCELONA,SPAIN,6,118,0.03389831,0.04838709677419355,26.0,1250.0,220.0,35.0,0.21307509142857142
Wizz Air,LUTON,BUCHAREST (OTOPENI),ROMANIA,9,109,0.01834862,0.0,26.0,2100.0,350.0,30.25,0.21229808264462807
easyJet,GATWICK,LYON,FRANCE,12,103,0.02912622,0.046296296296296294,18.0,350.0,220.0,30.8,0.20804442857142857
easyJet,LUTON,PALMA DE MALLORCA,SPAIN,9,107,0.027353540186915888,0.02727272727272727,26.44859813084112,1250.0,220.0,30.8,0.19538242990654203
easyJet,GATWICK,MILAN (MALPENSA),ITALY,9,148,0.02684564,0.013333333333333334,28.0,1400.0,220.0,30.8,0.19175457142857144
easyJet,BELFAST INTERNATIONAL,LIVERPOOL (JOHN LENNON),UNITED KINGDOM,9,110,0.026785709999999997,0.017857142857142856,16.0,400.0,220.0,30.8,0.19132649999999998
easyJet,MANCHESTER,GENEVA,SWITZERLAND,12,107,0.026649393644859812,0.044642857142857144,42.22429906542056,750.0,220.0,30.8,0.19035281174899865
Ryanair,STANSTED,BUDAPEST,HUNGARY,9,117,0.01709401666666667,0.01680672268907563,19.22222222222222,1450.0,220.0,19.8,0.18993351851851856
easyJet,GATWICK,BARCELONA,SPAIN,12,115,0.02608695,0.017094017094017096,17.0,1250.0,220.0,30.8,0.18633535714285715
Ryanair,STANSTED,DUBLIN,IRISH REPUBLIC,1,234,0.012593604615384616,0.01680672268907563,11.58974358974359,450.0,220.0,15.3,0.181084510809452
easyJet,EDINBURGH,STANSTED,UNITED KINGDOM,11,103,0.01923077,0.009615384615384616,15.0,400.0,220.0,23.8,0.17776342016806726
easyJet,GATWICK,BELFAST INTERNATIONAL,UNITED KINGDOM,1,106,0.01834862,0.027522935779816515,17.0,400.0,220.0,23.8,0.1696090924369748
easyJet,GATWICK,PALMA DE MALLORCA,SPAIN,4,139,0.021582729999999998,0.027972027972027972,21.0,1250.0,220.0,28.0,0.16957859285714286
easyJet,BELFAST INTERNATIONAL,EDINBURGH,UNITED KINGDOM,1,105,0.01818182,0.045454545454545456,16.0,400.0,220.0,23.8,0.168067243697479
easyJet,BELFAST INTERNATIONAL,GATWICK,UNITED KINGDOM,1,107,0.01818182,0.02727272727272727,14.0,400.0,220.0,23.8,0.168067243697479
Ryanair,STANSTED,BUCHAREST (OTOPENI),ROMANIA,2,111,0.00900901,0.0,15.0,2100.0,350.0,19.12,0.16491388598326356
easyJet,GATWICK,MILAN (MALPENSA),ITALY,4,145,0.02068965,0.02027027027027027,21.0,1400.0,220.0,28.0,0.16256153571428572
easyJet,GATWICK,MALAGA,SPAIN,10,147,0.02027027,0.013422818791946308,26.0,1250.0,220.0,28.0,0.15926640714285714
easyJet,GATWICK,NICE,FRANCE,8,171,0.029239769999999998,0.0,44.0,350.0,220.0,40.6,0.15844210344827583
Wizz Air,LUTON,TIRANA,ALBANIA,7,115,0.017391300000000002,0.0,24.0,2050.0,350.0,39.88,0.1526317703109328
Ryanair,STANSTED,LISBON,PORTUGAL(EXCLUDING MADEIRA),10,101,0.00980392,0.00980392156862745,19.0,1600.0,350.0,22.5,0.15250542222222221
easyJet,GATWICK,NICE,FRANCE,9,141,0.021276600000000003,0.0,48.0,350.0,220.0,30.8,0.1519757142857143
easyJet,GATWICK,JERSEY,UNITED KINGDOM,3,115,0.017391300000000002,0.0,16.0,400.0,220.0,25.2,0.15182880952380956
Ryanair,STANSTED,BUCHAREST (OTOPENI),ROMANIA,4,103,0.00970874,0.0,15.0,2100.0,350.0,22.5,0.15102484444444444
easyJet,GATWICK,MILAN (MALPENSA),ITALY,8,145,0.02721088,0.026845637583892617,34.0,1400.0,220.0,40.6,0.14744811822660098
easyJet,GATWICK,PALMA DE MALLORCA,SPAIN,10,160,0.01875,0.024390243902439025,30.0,1250.0,220.0,28.0,0.14732142857142858
easyJet,MANCHESTER,PARIS (CHARLES DE GAULLE),FRANCE,12,141,0.020511246950354608,0.03424657534246575,45.9645390070922,350.0,220.0,30.8,0.1465089067882472
easyJet,GATWICK,MILAN (MALPENSA),ITALY,2,127,0.01574803,0.015503875968992248,13.0,1400.0,220.0,23.8,0.14557002521008403
Ryanair,STANSTED,DUBLIN,IRISH REPUBLIC,10,252,0.01190476388888889,0.0,18.666666666666668,450.0,220.0,18.0,0.14550266975308646
Ryanair,LIVERPOOL (JOHN LENNON),DUBLIN,IRISH REPUBLIC,10,168,0.01190476,0.0,13.0,450.0,220.0,18.0,0.14550262222222224
easyJet,GATWICK,JERSEY,UNITED KINGDOM,7,113,0.02631579,0.008771929824561403,16.0,400.0,220.0,40.6,0.14259787684729064
Ryanair,LUTON,DUBLIN,IRISH REPUBLIC,11,101,0.00990099,0.0,16.0,450.0,220.0,15.3,0.14236717647058825
easyJet,GATWICK,GENEVA,SWITZERLAND,4,166,0.01807229,0.023529411764705882,16.0,750.0,220.0,28.0,0.1419965642857143
easyJet,GATWICK,MILAN (MALPENSA),ITALY,11,132,0.015151520000000002,0.022222222222222223,14.0,1400.0,220.0,23.8,0.14005606722689076
easyJet,GATWICK,GENEVA,SWITZERLAND,9,154,0.01948052,0.01910828025477707,30.0,750.0,220.0,30.8,0.13914657142857143
easyJet,GATWICK,RHODES,GREECE,8,100,0.02,0.0,40.0,2400.0,350.0,50.75,0.13793103448275862
easyJet,MANCHESTER,PARIS (CHARLES DE GAULLE),FRANCE,11,137,0.014598544379562045,0.0,28.175182481751825,350.0,220.0,23.8,0.1349445278783046
easyJet,GATWICK,JERSEY,UNITED KINGDOM,9,106,0.01886792,0.0,19.0,400.0,220.0,30.8,0.13477085714285714
